;;;;;;;;;SCOF;;;;;;;;;;;;;;;;;;;;;;;;SCOFRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Quintiles;;Growth;;;;;;;Qualité;;;;;;;Value;;;;;;;;Quintiles;;Growth;;;;;Qualité;;;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Quintile 0;;-26,56;-79,24;-153,06;1,00;1,00;1,00;1,00;-117,40;-2223,95;-144,27;1,00;1,00;1,00;1,00;-275,19;4,30;0,30;1,00;1,00;2,00;1,33;1,58;Quintile 0;;-16,89;-74,14;1,00;1,00;1,00;-33,28;1,00;1,00;0,18;0,00;0,00;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Quintile 1;;-4,18;3,86;1,98;2,00;2,00;2,00;2,33;0,04;3,40;-1,47;1,00;1,00;1,00;2,00;1,78;11,43;1,37;2,00;1,00;3,00;2,33;2,67;Quintile 1;;-2,43;-26,67;1,80;1,00;2,00;0,77;1,80;1,80;0,47;0,00;0,00;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Quintile 2;;-0,88;9,19;6,82;3,00;3,00;3,00;2,67;1,21;34,99;7,99;2,00;2,00;3,00;2,67;3,78;16,50;2,19;3,00;2,00;4,00;3,00;2,92;Quintile 2;;1,74;-14,08;2,60;1,00;2,50;4,91;3,00;3,00;0,70;2,00;2,00;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Quintile 3;;3,22;14,83;12,52;4,00;4,00;4,00;3,33;2,14;62,53;14,60;3,00;3,00;4,00;3,33;6,17;21,77;3,54;4,00;3,00;4,00;3,33;3,17;Quintile 3;;5,77;-2,38;3,40;3,00;3,00;8,96;4,00;4,00;0,98;3,40;3,40;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Quintile 4;;8,38;27,15;21,07;5,00;5,00;5,00;3,67;3,54;116,99;26,27;4,00;4,00;5,00;4,00;11,09;31,18;7,27;5,00;4,00;4,00;4,33;3,50;Quintile 4;;10,94;8,05;4,20;4,00;3,10;12,32;5,00;5,00;1,48;4,20;4,20;3,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Quintile 5;;273,25;652,54;63,53;5,00;5,00;5,00;5,00;25,70;4623,37;628,41;5,00;5,00;5,00;5,00;586,22;514,82;172,41;5,00;5,00;5,00;5,00;4,67;Quintile 5;;74,27;194,71;5,00;4,00;5,00;51,09;5,00;5,00;24,30;5,00;5,00;4,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;Rank;Rank;Vtes Croiss moy 3A;Revenue NTM Growth;EBIT Margin LTM;Note Revenue 3Y AVGR;Note Revenue NTM Growth;Note EBIT Margin LTM;Note Growth;Net Debt/EBITDA LTM;Net Debt/Total Equity;ROE LF;Note Net Debt/EBITDA LTM;Note Net Debt/Total Equity;Note ROE LF;Note Quality;FCF Rdt LF;BEst PER BF12M;BEst P/Act net BF12M;Note FCF Yield LF;Note P/E Ratio NTM;Note P/B Ratio NTM;Note Value;Note Composite;Rank;Rank;Vtes Croiss moy 3A;Revenue NTM Growth;Note Revenue 3Y AVGR;Note Revenue NTM Growth;Note Growth;ROE LF;Note ROE LF;Note Quality;BEst P/Act net BF12M;Note P/B Ratio NTM;Note Value;Note Composite;Catégorie;Devise;Cours actuel;Ratio de Sharpe 1A;Max. DD 1A;Volatilité 30J;Ticker;Name;YTM;Bas 52 sem.;Haut 52 sem.;1A absolu (LC);YTD absolu (LC);Indice marché;1A relatif (LC);YTD relatif (LC);Target consensus;Potentiel Consensus;% Achat cons. Analystes;SG;Score;TREND;MACD;EPS;TP;RSI;Moy. mob. 200J;Moy. mob. 100J;Moy. mob. 50J;Moy. mob. 20J;Moy. mob. 10J;Moy. mob. 5J;MACD line;MACD Diff.;3M% Chg. EPS;3M Chg. TP;RSI;ESG_RATING;Rating ESG SG;OVERALL_FLAG;Consensus analystes;Achat SG;ESG
ABB LTD-REG;CH0012221716;ABBN SW EQUITY;CHF;69,27;SWITZERLAND;Industrie;Biens d'investissement;Yann;215;215;1,45;10,69;7,52;3,00;3,00;3,00;3,00;0,89;18,55;41,74;4,00;4,00;5,00;4,33;3,40;22,63;5,04;2,00;2,00;2,00;2,00;3,08;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;CHF;33,71;-;-9,82%;19,3%;-;#N/A Invalid Security;-;21,85;33,94;39,4%;36,4%;SMI INDEX;22,6%;23,0%;34,48;2,3%;36,1%;HOLD;3,0;0;1;1;1;0;27,6;30,2;31,3;32,2;32,6;32,4;0,40;0,00;3,56;4,09;64,0;AA;85,02;Yellow;;;Bonus
