Gender;Height (in);Height (cm)
Male;73,847017;187,571423
Male;68,781904;174,706036
Male;74,110105;188,239668
Male;71,730978;182,196685
Male;69,881796;177,499761
Male;67,253016;170,822660
Male;68,785081;174,714106
Male;68,348516;173,605229
Male;67,018950;170,228132
Male;63,456494;161,179495
Male;71,195382;180,836271
Male;71,640805;181,967645
Male;64,766329;164,506476
Male;69,283070;175,978998
Male;69,243732;175,879080
Male;67,645620;171,819874
Male;72,418317;183,942524
Male;63,974326;162,494787
Male;69,640060;176,885752
Male;67,936005;172,557452
Male;67,915050;172,504227
Male;69,439440;176,376177
Male;66,149132;168,018795
Male;75,205974;191,023173
Male;67,893196;172,448719
Male;68,144033;173,085843
Male;69,089631;175,487664
Male;72,800844;184,914143
Male;67,421242;171,249955
Male;68,496415;173,980895
Male;68,618111;174,290001
Male;74,033808;188,045871
Male;71,528216;181,681669
Male;69,180161;175,717609
Male;69,577202;176,726094
Male;70,400929;178,818359
Male;69,076171;175,453475
Male;67,193523;170,671549
Male;65,807316;167,150582
Male;64,304188;163,332637
Male;67,974336;172,654814
Male;72,189426;183,361142
Male;65,270346;165,786678
Male;66,090177;167,869051
Male;67,510322;171,476217
Male;70,104786;178,066157
Male;68,251836;173,359665
Male;72,172709;183,318681
Male;69,179858;175,716838
Male;72,870360;185,090715
Male;64,782583;164,547761
Male;70,183550;178,266217
Male;68,491450;173,968284
Male;67,330831;171,020310
Male;66,990944;170,156998
Male;66,499550;168,908857
Male;68,353057;173,616764
Male;70,774459;179,767126
Male;71,215924;180,888446
Male;70,013365;177,833948
Male;71,403182;181,364083
Male;69,552005;176,662093
Male;73,818535;187,499078
Male;66,996883;170,172082
Male;71,418466;181,402903
Male;65,279300;165,809423
Male;68,274191;173,416446
Male;72,765370;184,824040
Male;68,099380;172,972425
Male;68,896706;174,997633
Male;69,289510;175,995355
Male;70,523225;179,128990
Male;69,663725;176,945862
Male;67,595269;171,691983
Male;72,508120;184,170626
Male;71,252986;180,982583
Male;71,809187;182,395335
Male;72,245165;183,502720
Male;66,512628;168,942074
Male;66,029034;167,713746
Male;67,577154;171,645971
Male;68,246569;173,346284
Male;73,826127;187,518363
Male;69,802464;177,298259
Male;65,959578;167,537328
Male;71,079018;180,540705
Male;66,596197;169,154339
Male;68,951535;175,136899
Male;68,244462;173,340933
Male;72,316825;183,684736
Male;71,815420;182,411168
Male;65,237050;165,702106
Male;70,640530;179,426946
Male;64,731926;164,419091
Male;67,103551;170,443020
Male;65,117485;165,398412
Male;71,701234;182,121134
Male;66,832878;169,755511
Male;66,471275;168,837039
Male;69,411526;176,305277
Male;70,052177;177,932531
Male;66,743605;169,528756
Male;66,274329;168,336796
Male;68,328448;173,554258
Male;70,075888;177,992756
Male;68,732988;174,581790
Male;67,556051;171,592370
Male;66,253633;168,284227
Male;69,182203;175,722795
Male;67,609105;171,727127
Male;69,292738;176,003555
Male;68,190684;173,204337
Male;71,607086;181,881998
Male;69,196858;175,760018
Male;67,261961;170,845381
Male;73,685193;187,160391
Male;69,537215;176,624526
Male;68,311560;173,511362
Male;67,738963;172,056967
Male;71,705763;182,132637
Male;63,632265;161,625952
Male;68,721198;174,551844
Male;66,949342;170,051328
Male;62,706990;159,275754
Male;72,258409;183,536359
Male;70,908653;180,107979
Male;67,609844;171,729003
Male;70,801559;179,835960
Male;69,304769;176,034113
Male;66,242898;168,256962
Male;67,492193;171,430170
Male;65,806248;167,147871
Male;71,443706;181,467012
Male;68,464406;173,899591
Male;63,987925;162,529328
Male;71,001898;180,344820
Male;68,139724;173,074899
Male;68,395400;173,724317
Male;68,096220;172,964398
Male;68,140590;173,077100
Male;68,860090;174,904629
Male;66,148853;168,018085
Male;66,206032;168,163321
Male;67,432120;171,277585
Male;69,471106;176,456609
Male;70,515860;179,110284
Male;71,338376;181,199475
Male;71,001945;180,344940
Male;66,202348;168,153963
Male;72,543307;184,260000
Male;67,479352;171,397553
Male;65,350411;165,990043
Male;70,844062;179,943919
Male;69,938475;177,643727
Male;64,739815;164,439131
Male;69,308403;176,043343
Male;68,838463;174,849696
Male;61,937323;157,320801
Male;68,593336;174,227072
Male;65,218576;165,655182
Male;64,333648;163,407466
Male;68,748907;174,622223
Male;72,489655;184,123725
Male;67,233931;170,774185
Male;67,263605;170,849556
