Ticker ;ISIN;Valeurs;Catégorie;Pays;Secteur;Industrie;Responsable;Devise;Cours actuel;Capitalisation (EUR Mds.);YTD absolu (LC);Target consensus;Potentiel Consensus;Date d'entrée;Performance réalisée depuis l'entrée;Score fondamental;Score technique;Total;Consensus analystes;Achat SG;ESG;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME;SL CORE;SL SATELLITE
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNBH NO EQUITY;NO0010031479;DNB ASA;Opportuniste;NORWAY;Finance;Banques;Chantal;NOK;186,45;289,07;11,0%;195,00;4,6%;-;-;NR;2,00;-;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
OHL SM EQUITY;ES0142090317;OBRASCON HUARTE;Opportuniste;SPAIN;Industrie;Biens d'investissement;Yann;EUR;#N/A N/A;-;-;0,80;-;-;-;NR;2,00;-;;Bonus;;NON;NON;NON;NON;NON;NON;NON;NON
UBI IM EQUITY;IT0003487029;UBI BANCA SPA;Opportuniste;ITALY;Finance;Banques;Chantal;EUR;#N/A N/A;-;-;Non suivi;-;-;-;NR;2,00;-;;Bonus;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
BKIA SM EQUITY;ES0113307062;BANKIA SA;Opportuniste;SPAIN;Finance;Banques;Chantal;EUR;#N/A N/A;-;-;1,06;-;-;-;NR;0,00;-;;;;NON;NON;NON;NON;NON;NON;NON;NON
UG FP EQUITY;FR0000121501;PEUGEOT SA;Opportuniste;FRANCE;Consommation discrétionnaire;Automobiles et composants auto;Yann;EUR;#N/A N/A;-;-;Non suivi;-;-;-;NR;1,00;-;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
RIO LN EQUITY;GB0007188757;RIO TINTO PLC;Core;BRITAIN;Matériaux;Matériaux;Jeremy;GBp;6042,00;10063,74;11,6%;6500,00;7,6%;-;-;4,42;3,00;4,06;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
LRCX US EQUITY;US5128071082;LAM RESEARCH;Core;UNITED STATES;Technologies de l'information;Semi-conducteurs et équipemen;Louis;USD;647,96;92,33;37,2%;750,00;15,7%;-;-;4,33;3,00;4,00;Bonus;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
LUNE SS EQUITY;SE0000825820;LUNDIN ENERGY AB;Core;SWEDEN;Energie;Energie;Louis;SEK;262,20;75,03;17,9%;305,00;16,3%;-;-;4,67;2,00;4,00;;;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
OTP HB EQUITY;HU0000061726;OTP BANK PLC;Core;HUNGARY;Finance;Banques;Chantal;HUF;16500,00;4620,00;23,5%;18530,00;12,3%;-;-;4,25;3,00;3,94;Bonus;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
NVDA US EQUITY;US67066G1040;NVIDIA CORP;Core;UNITED STATES;Technologies de l'information;Semi-conducteurs et équipemen;Louis;USD;203,66;507,52;56,0%;192,50;-5,5%;-;-;4,25;3,00;3,94;Bonus;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
CTSH US EQUITY;US1924461023;COGNIZANT TECH-A;Core;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;73,00;38,37;-10,9%;87,50;19,9%;-;-;3,83;4,00;3,88;;Bonus;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
AMD US EQUITY;US0079031078;ADV MICRO DEVICE;Opportuniste;UNITED STATES;Technologies de l'information;Semi-conducteurs et équipemen;Louis;USD;110,11;133,56;20,1%;110,00;-0,1%;-;-;4,17;3,00;3,88;;;;NON;OUI;NON;NON;NON;NON;NON;NON
AMAT US EQUITY;US0382221051;APPLIED MATERIAL;Core;UNITED STATES;Technologies de l'information;Semi-conducteurs et équipemen;Louis;USD;142,65;130,38;65,3%;160,00;12,2%;-;-;4,17;3,00;3,88;Bonus;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
ASML NA EQUITY;NL0010273215;ASML HOLDING NV;Core;NETHERLANDS;Technologies de l'information;Semi-conducteurs et équipemen;Louis;EUR;673,70;282,74;69,5%;677,50;0,6%;26/01/2021;46,90%;4,08;3,00;3,81;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;OUI;NON
DIM FP EQUITY;FR0013154002;SARTORIUS STEDIM;Core;FRANCE;Soins de santé;Sciences pharmaceutiques, biot;Thomas;EUR;485,10;44,72;66,6%;504,00;3,9%;-;-;4,08;3,00;3,81;Bonus;Bonus;;NON;NON;OUI;OUI;NON;NON;NON;NON
YKBNK TI EQUITY;TRAYKBNK91N6;YAPI KREDI;Opportuniste;TURKEY;Finance;Banques;Chantal;TRY;2,49;21,03;-19,2%;3,45;38,6%;-;-;3,75;4,00;3,81;Bonus;Bonus;;NON;NON;NON;NON;NON;NON;NON;NON
HLAG GR EQUITY;DE000HLAG475;HAPAG-LLOYD AG;Opportuniste;GERMANY;Industrie;Transport;Thomas;EUR;203,40;35,75;121,3%;159,50;-21,6%;-;-;4,08;3,00;3,81;;;;NON;NON;NON;NON;NON;NON;NON;NON
MAERSKB DC EQUITY;DK0010244508;AP MOLLER-B;Core;DENMARK;Industrie;Transport;Thomas;DKK;17540,00;333,89;29,0%;19500,00;11,2%;-;-;4,42;2,00;3,81;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
RMS FP EQUITY;FR0000052292;HERMES INTL;Core;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;EUR;1343,50;141,83;52,7%;1200,00;-10,7%;09/06/2020;75,42%;4,00;3,00;3,75;;Bonus;;NON;NON;OUI;OUI;OUI;NON;OUI;NON
NOVOB DC EQUITY;DK0060534915;NOVO NORDISK-B;Core;DENMARK;Soins de santé;Sciences pharmaceutiques, biot;Thomas;DKK;633,90;1465,23;48,6%;580,50;-8,4%;-;-;3,92;3,00;3,69;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ISRG US EQUITY;US46120E6023;INTUITIVE SURGIC;Core;UNITED STATES;Soins de santé;Equipement et services de sant;Thomas;USD;1030,02;122,47;25,9%;1000,00;-2,9%;-;-;3,92;3,00;3,69;;;Malus;NON;OUI;NON;NON;NON;NON;NON;NON
SWMA SS EQUITY;SE0015812219;SWEDISH MATCH AB;Core;SWEDEN;Consommation de base;Produits alimentaires, boisson;Sophie;SEK;77,68;122,73;21,8%;83,00;6,8%;-;-;3,92;3,00;3,69;Bonus;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
QCOM US EQUITY;US7475251036;QUALCOMM INC;Core;UNITED STATES;Technologies de l'information;Semi-conducteurs et équipemen;Louis;USD;146,28;165,00;-4,0%;180,00;23,1%;-;-;3,92;3,00;3,69;Bonus;;;NON;OUI;NON;NON;NON;NON;NON;NON
ZM US EQUITY;US98980L1017;ZOOM VIDEO COM-A;Opportuniste;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;383,47;113,88;13,7%;400,00;4,3%;-;-;4,25;2,00;3,69;;;;NON;NON;NON;NON;NON;NON;NON;NON
ALRS RM EQUITY;RU0007252813;ALROSA;Core;RUSSIA;Matériaux;Matériaux;Jeremy;RUB;137,91;1015,85;40,3%;141,00;2,2%;-;-;3,83;3,00;3,63;;Bonus;;NON;NON;NON;NON;NON;NON;NON;NON
NEM GR EQUITY;DE0006452907;NEMETSCHEK SE;Opportuniste;GERMANY;Technologies de l'information;Logiciels et services;Moad;EUR;78,36;9,05;29,7%;73,00;-6,8%;-;-;3,83;3,00;3,63;;;;NON;NON;OUI;NON;NON;NON;NON;NON
MSFT US EQUITY;US5949181045;MICROSOFT CORP;Core;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;289,46;2175,26;30,1%;325,00;12,3%;01/01/2020;83,55%;4,17;2,00;3,63;Bonus;;Malus;OUI;OUI;NON;NON;NON;NON;OUI;NON
V US EQUITY;US92826C8394;VISA INC-CLASS A;Core;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;241,40;530,46;10,4%;283,35;17,4%;-;-;4,17;2,00;3,63;Bonus;;Bonus;OUI;OUI;NON;NON;NON;NON;NON;NON
ADBE US EQUITY;US00724F1012;ADOBE INC;Core;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;631,38;300,79;26,2%;627,50;-0,6%;-;-;4,17;2,00;3,63;Bonus;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
INTU US EQUITY;US4612021034;INTUIT INC;Core;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;534,29;146,00;40,7%;500,00;-6,4%;-;-;4,17;2,00;3,63;Bonus;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
ASRNL NA EQUITY;NL0011872643;ASR NEDERLAND NV;Opportuniste;NETHERLANDS;Finance;Assurance;Chantal;EUR;36,25;5,00;10,4%;41,00;13,1%;-;-;3,75;3,00;3,56;Bonus;;;NON;NON;OUI;NON;NON;NON;NON;NON
