Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;ESG_RATING;Rating ESG SG;OVERALL_FLAG;SG;JP;ODDO;SG;JP;ODDO;Couverture ;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME
ABB LTD-REG;CH0012221716;ABBN SW EQUITY;CHF;69,21;SWITZERLAND;Industrie;Biens d'investissement;Yann;AA;85,02;Yellow;HOLD;NEUTRAL;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ABBVIE INC;US00287Y1091;ABBV US EQUITY;USD;202,25;UNITED STATES;Soins de santé;Sciences pharmaceutiques, biot;Thomas;BBB;63,34;Orange;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
ABN AMRO BANK-CV;NL0011540547;ABN NA EQUITY;EUR;9,84;NETHERLANDS;Finance;Banques;Chantal;BBB;78,24;Yellow;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ACCENTURE PLC-A;IE00B4BNMY34;ACN US EQUITY;USD;204,39;IRELAND;Technologies de l'information;Logiciels et services;Moad;A;64,03;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
ACCOR SA;FR0000120404;AC FP EQUITY;EUR;7,60;FRANCE;Consommation discrétionnaire;Services consommateurs;Bruno;A;66,2;Green;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
ACKERMANS & VAN;BE0003764785;ACKB BB EQUITY;EUR;4,95;BELGIUM;Finance;Services financiers diversifi;Chantal;BBB;NR;Green;HOLD;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
ACS;ES0167050915;ACS SM EQUITY;EUR;7,10;SPAIN;Industrie;Biens d'investissement;Yann;A;62,94;Orange;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
ADECCO GROUP AG;CH0012138605;ADEN SW EQUITY;CHF;8,75;SWITZERLAND;Industrie;Services commerciaux et profes;Yann;AA;NR;Green;NOT RATED;RATING SUSPENDED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
ADIDAS AG;DE000A1EWWW0;ADS GR EQUITY;EUR;62,57;GERMANY;Consommation discrétionnaire;Biens de consommation durables;Bruno;AAA;NR;Yellow;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ADLER REAL EST;DE0005008007;ADL GR EQUITY;EUR;1,29;GERMANY;Immobilier;Immobilier;Jeremy;BB;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
ADP;FR0010340141;ADP FP EQUITY;EUR;10,20;FRANCE;Industrie;Transport;Thomas;A;NR;Green;NOT RATED;UNDERWEIGHT;UNDERPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
AEDIFICA;BE0003851681;AED BB EQUITY;EUR;4,47;BELGIUM;Immobilier;Immobilier;Jeremy;BBB;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
AEGON NV;NL0000303709;AGN NA EQUITY;EUR;7,97;NETHERLANDS;Finance;Assurance;Chantal;AA;75,84;Yellow;HOLD;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
AENA SME SA;ES0105046009;AENA SM EQUITY;EUR;20,49;SPAIN;Industrie;Transport;Thomas;A;48,06;Green;HOLD;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
AGEAS;BE0974264930;AGS BB EQUITY;EUR;8,87;BELGIUM;Finance;Assurance;Chantal;BBB;52,5;Green;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
AIB GROUP PLC;IE00BF0L3536;AIBG ID EQUITY;EUR;6,16;IRELAND;Finance;Banques;Chantal;AA;NR;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
AIR FRANCE-KLM;FR0000031122;AF FP EQUITY;EUR;2,62;FRANCE;Industrie;Transport;Thomas;BB;53,69;Yellow;SELL;NOT RATED;UNDERPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
AIR LIQUIDE SA;FR0000120073;AI FP EQUITY;EUR;69,92;FRANCE;Matériaux;Matériaux;Jeremy;A;73,4;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
AIR PRODS & CHEM;US0091581068;APD US EQUITY;USD;64,36;UNITED STATES;Matériaux;Matériaux;Jeremy;BBB;67,77;Green;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
AIRBUS SE;NL0000235190;AIR FP EQUITY;EUR;91,19;FRANCE;Industrie;Biens d'investissement;Yann;BB;61,42;Orange;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
AKER BP ASA;NO0010345853;AKRBP NO EQUITY;NOK;85,60;NORWAY;Energie;Energie;Louis;A;50,57;Green;SELL;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
AKKA TECHNOLOGIE;FR0004180537;AKA FP EQUITY;EUR;1,47;BELGIUM;Industrie;Services commerciaux et profes;Yann;BBB;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
AKZO NOBEL;NL0013267909;AKZA NA EQUITY;EUR;19,53;NETHERLANDS;Matériaux;Matériaux;Jeremy;AAA;84,9;Green;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ALD SA;FR0013258662;ALD FP EQUITY;EUR;5,01;FRANCE;Industrie;Transport;Thomas;A;NR;Green;NOT RATED;NEUTRAL;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
ALLIANZ SE-REG;DE0008404005;ALV GR EQUITY;EUR;81,98;GERMANY;Finance;Assurance;Chantal;AAA;78,87;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ALMIRALL SA;ES0157097017;ALM SM EQUITY;EUR;2,48;SPAIN;Soins de santé;Sciences pharmaceutiques, biot;Thomas;A;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
ALPHABET INC-A;US02079K3059;GOOGL US EQUITY;USD;1818,98;UNITED STATES;Services de communication;Médias et divertissement;Cédric;BBB;50,52;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
ALROSA;RU0007252813;ALRS RM EQUITY;RUB;1016,73;RUSSIA;Matériaux;Matériaux;Jeremy;BB;51,04;Yellow;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
ALSTOM;FR0010220475;ALO FP EQUITY;EUR;13,14;FRANCE;Industrie;Biens d'investissement;Yann;AA;81,53;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
ALSTRIA OFFICE;DE000A0LD2U1;AOX GR EQUITY;EUR;3,20;GERMANY;Immobilier;Immobilier;Jeremy;A;NR;Green;SELL;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
AMADEUS IT GROUP;ES0109067019;AMS SM EQUITY;EUR;24,31;SPAIN;Technologies de l'information;Logiciels et services;Moad;AA;NR;Yellow;NOT RATED;OVERWEIGHT;NEUTRAL;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
AMAZON.COM INC;US0231351067;AMZN US EQUITY;USD;1694,01;UNITED STATES;Consommation discrétionnaire;Vente au détail;Bruno;BBB;NR;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
AMS AG;AT0000A18XM4;AMS SW EQUITY;CHF;5,12;AUSTRIA;Technologies de l'information;Semi-conducteurs et équipemen;Louis;BBB;NR;Green;NOT RATED;OVERWEIGHT;NEUTRAL;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
